Improving Parameter,Worsening Parameter,Inventive Principles
12 Duration of Action of Moving Object,31 Other Harmful Effects Generated by System,IP #40 and IP #3 and IP #37 and IP #6 and IP #11 and IP #30 and IP #4 and IP #39 and IP #14
12 Duration of Action of Moving Object,32 Adaptability/Versatility,IP #7 and IP #13 and IP #30 and IP #35 and IP #1 and IP #17 and IP #4 and IP #40
12 Duration of Action of Moving Object,33 Compatibility/ Connectability,IP #28 and IP #35 and IP #24 and IP #3 and IP #7 and IP #11 and IP #33 and IP #13
12 Duration of Action of Moving Object,34 Trainability/Operability/Controllability,IP #10 and IP #25 and IP #24 and IP #12 and IP #1 and IP #26 and IP #37
12 Duration of Action of Moving Object,35 Reliability/Robustness,IP #35 and IP #12 and IP #13 and IP #40 and IP #3 and IP #1
12 Duration of Action of Moving Object,36 Repairability,IP #3 and IP #10 and IP #17 and IP #19 and IP #7 and IP #34 and IP #13
12 Duration of Action of Moving Object,37 Security,IP #28 and IP #2 and IP #10 and IP #26 and IP #13
12 Duration of Action of Moving Object,38 Safety/Vulnerability,IP #10 and IP #37 and IP #3 and IP #24 and IP #19 and IP #12
12 Duration of Action of Moving Object,39 Aesthetics/Appearance,IP #35 and IP #2 and IP #7 and IP #3 and IP #24 and IP #30
12 Duration of Action of Moving Object,40 Other Harmful Effects Acting on System,IP #21 and IP #28 and IP #15 and IP #24 and IP #33 and IP #10 and IP #30 and IP #39
12 Duration of Action of Moving Object,41 Manufacturability,IP #35 and IP #4 and IP #10 and IP #3 and IP #2 and IP #5 and IP #40
12 Duration of Action of Moving Object,42 Manufacture Precision/Consistency,IP #3 and IP #16 and IP #40 and IP #10 and IP #37 and IP #12 and IP #25
12 Duration of Action of Moving Object,43 Automation,IP #10 and IP #30 and IP #17 and IP #6 and IP #24 and IP #31 and IP #1 and IP #13
12 Duration of Action of Moving Object,44 Productivity,IP #10 and IP #35 and IP #19 and IP #3 and IP #14 and IP #17 and IP #15 and IP #40
12 Duration of Action of Moving Object,45 System Complexity,IP #5 and IP #15 and IP #10 and IP #4 and IP #2 and IP #28 and IP #29 and IP #25
12 Duration of Action of Moving Object,46 Control Complexity,IP #5 and IP #28 and IP #26 and IP #20 and IP #37 and IP #4
12 Duration of Action of Moving Object,47 Ability to Detect/Measure,IP #10 and IP #37 and IP #4 and IP #32 and IP #19 and IP #35 and IP #39 and IP #28
12 Duration of Action of Moving Object,48 Measurement Precision,IP #3 and IP #17 and IP #24 and IP #10 and IP #26
13 Duration of Action of Stationary Object,01 Weight of Moving Object,IP #35 and IP #31 and IP #8 and IP #19 and IP #4 and IP #15 and IP #34
13 Duration of Action of Stationary Object,02 Weight of Stationary Object,IP #35 and IP #6 and IP #2 and IP #31 and IP #19 and IP #3 and IP #34
13 Duration of Action of Stationary Object,03 Length/Angle of Moving Object,IP #17 and IP #40 and IP #19 and IP #2 and IP #35 and IP #3 and IP #8
13 Duration of Action of Stationary Object,04 Length/Angle of Stationary Object,IP #40 and IP #35 and IP #1 and IP #9 and IP #17 and IP #2 and IP #13
13 Duration of Action of Stationary Object,05 Area of Moving Object,IP #3 and IP #35 and IP #18 and IP #19 and IP #14 and IP #2
13 Duration of Action of Stationary Object,06 Area of Stationary Object,IP #35 and IP #17 and IP #3 and IP #30 and IP #7 and IP #14
13 Duration of Action of Stationary Object,07 Volume of Moving Object,IP #35 and IP #19 and IP #18 and IP #3 and IP #13 and IP #17 and IP #4 and 
13 Duration of Action of Stationary Object,08 Volume of Stationary Object,IP #35 and IP #40 and IP #31 and IP #3 and IP #34 and IP #38 and IP #19 and IP #13
13 Duration of Action of Stationary Object,09 Shape,IP #17 and IP #3 and IP #40 and IP #14 and IP #33 and IP #13 and IP #10 and IP #7
13 Duration of Action of Stationary Object,10 Amount of Substance,IP #35 and IP #31 and IP #3 and IP #40 and IP #17 and IP #13 and IP #6
13 Duration of Action of Stationary Object,11 Amount of Information, and IP #24 and IP #7 and IP #10 and IP #25 and IP #3 and IP #2 and IP #32
13 Duration of Action of Stationary Object,12 Duration of Action of Moving Object,IP #35 and IP #24 and IP #28 and IP #4 and IP #3 and IP #25 and IP #29 and IP #34
13 Duration of Action of Stationary Object,13 Duration of Action of Stationary Object,see physical contradiction
13 Duration of Action of Stationary Object,14 Speed,IP #35 and IP #28 and IP #29 and IP #3 and IP #4 and IP #14 and IP #13
13 Duration of Action of Stationary Object,15 Force/Torque,IP #17 and IP #40 and IP #35 and IP #9 and IP #7 and IP #5
13 Duration of Action of Stationary Object,16 Energy Used by Moving Object,IP #13 and IP #25 and IP #40 and IP #24 and IP #3 and IP #27 and IP #35
13 Duration of Action of Stationary Object,17 Energy Used by Stationary Object,IP #35 and IP #40 and IP #13 and IP #2 and IP #19 and IP #7 and IP #2 and IP #30
13 Duration of Action of Stationary Object,18 Power,IP #35 and IP #2 and IP #13 and IP #16 and IP #40
13 Duration of Action of Stationary Object,19 Stress/Pressure,IP #17 and IP #4 and IP #40 and IP #12 and IP #14 and IP #13
13 Duration of Action of Stationary Object,20 Strength,IP #35 and IP #3 and IP #9 and IP #17 and IP #14 and IP #4 and IP #19 and IP #27
13 Duration of Action of Stationary Object,21 Stability,IP #5 and IP #35 and IP #39 and IP #3 and IP #12 and IP #24 and IP #31 and 
13 Duration of Action of Stationary Object,22 Temperature,IP #19 and IP #24 and IP #35 and IP #40 and IP #36 and IP #15 and IP #16
13 Duration of Action of Stationary Object,23 Illumination Intensity,IP #35 and IP #40 and IP #24 and IP #2 and IP #19 and IP #7 and IP #13
13 Duration of Action of Stationary Object,24 Function Efficiency,IP #3 and IP #19 and IP #12 and IP #15 and IP #13 and IP #1
13 Duration of Action of Stationary Object,25 Loss of Substance,IP #35 and IP #10 and IP #17 and IP #4 and IP #7 and IP #18 and IP #16 and IP #4
13 Duration of Action of Stationary Object,26 Loss of Time,IP #3 and IP #24 and IP #10 and IP #14 and IP #5 and IP #28 and IP #16
13 Duration of Action of Stationary Object,27 Loss of Energy,IP #10 and IP #12 and IP #35 and IP #40 and IP #34 and IP #24 and IP #19
13 Duration of Action of Stationary Object,28 Loss of Information,IP #10 and IP #7 and IP #2 and IP #24 and IP #25 and IP #19 and IP #35
13 Duration of Action of Stationary Object,29 Noise,IP #31 and IP #35 and IP #24 and IP #14 and IP #5 and IP #30
13 Duration of Action of Stationary Object,30 Harmful Emissions,IP #1 and IP #3 and IP #14 and IP #18 and IP #4 and IP #17 and IP #7 and 
13 Duration of Action of Stationary Object,31 Other Harmful Effects Generated by System,IP #35 and IP #14 and IP #40 and IP #3 and IP #39 and IP #13 and IP #33
13 Duration of Action of Stationary Object,32 Adaptability/Versatility,IP #13 and IP #5 and IP #4 and IP #17 and IP #2 and IP #35 and IP #40
13 Duration of Action of Stationary Object,33 Compatibility/ Connectability,IP #10 and IP #24 and IP #17 and IP #28 and IP #11 and IP #3
13 Duration of Action of Stationary Object,34 Trainability/Operability/Controllability,IP #25 and IP #1 and IP #3 and IP #10 and IP #37 and IP #13 and IP #24
13 Duration of Action of Stationary Object,35 Reliability/Robustness,IP #35 and IP #3 and IP #9 and IP #40 and IP #13 and IP #30 and IP #36
13 Duration of Action of Stationary Object,36 Repairability,IP #3 and IP #10 and IP #19 and IP #1 and IP #28 and IP #13
13 Duration of Action of Stationary Object,37 Security,IP #28 and IP #26 and IP #10 and IP #2 and IP #24
13 Duration of Action of Stationary Object,38 Safety/Vulnerability,IP #10 and IP #37 and IP #24 and IP #3 and IP #12
13 Duration of Action of Stationary Object,39 Aesthetics/Appearance,IP #35 and IP #2 and IP #3 and IP #24 and IP #30
13 Duration of Action of Stationary Object,40 Other Harmful Effects Acting on System,IP #1 and IP #35 and IP #33 and IP #39 and IP #40 and IP #24 and IP #10 and IP #17
13 Duration of Action of Stationary Object,41 Manufacturability,IP #35 and IP #10 and IP #40 and IP #5 and IP #13 and IP #2
13 Duration of Action of Stationary Object,42 Manufacture Precision/Consistency,IP #40 and IP #37 and IP #25 and IP #3 and IP #16 and IP #13
13 Duration of Action of Stationary Object,43 Automation,IP #1 and IP #17 and IP #13 and IP #24 and IP #6 and IP #31
13 Duration of Action of Stationary Object,44 Productivity,IP #10 and IP #40 and IP #38 and IP #16 and IP #3 and IP #20 and IP #35
13 Duration of Action of Stationary Object,45 System Complexity,IP #5 and IP #10 and IP #2 and IP #25 and IP #4 and IP #17 and IP #14
13 Duration of Action of Stationary Object,46 Control Complexity,IP #28 and IP #37 and IP #4 and IP #20 and IP #5 and IP #6
13 Duration of Action of Stationary Object,47 Ability to Detect/Measure,IP #32 and IP #35 and IP #25 and IP #6 and IP #4 and IP #37 and IP #39 and IP #28
13 Duration of Action of Stationary Object,48 Measurement Precision,IP #10 and IP #26 and IP #24 and IP #37 and IP #4 and IP #3
14 Speed,01 Weight of Moving Object,IP #13 and IP #14 and IP #8 and IP #28 and IP #1 and IP #17 and IP #2 and IP #38
14 Speed,02 Weight of Stationary Object,IP #1 and IP #13 and IP #2 and IP #10 and IP #35 and IP #3
14 Speed,03 Length/Angle of Moving Object,IP #13 and IP #17 and IP #28 and IP #2 and IP #29 and IP #14 and IP #1
14 Speed,04 Length/Angle of Stationary Object,IP #17 and IP #15 and IP #30 and IP #2 and IP #14 and IP #1
14 Speed,05 Area of Moving Object,IP #17 and IP #14 and IP #4 and IP #1 and IP #29 and IP #30 and IP #3 and IP #5 and IP #34
14 Speed,06 Area of Stationary Object,IP #14 and IP #5 and IP #3 and IP #17 and IP #1 and IP #4 and IP #13
14 Speed,07 Volume of Moving Object,IP #28 and IP #2 and IP #7 and IP #34 and IP #35 and IP #5 and IP #14 and IP #4
14 Speed,08 Volume of Stationary Object,IP #28 and IP #5 and IP #2 and IP #35 and IP #7 and IP #9 and IP #1 and IP #18
14 Speed,09 Shape,IP #17 and IP #7 and IP #15 and IP #18 and IP #35 and IP #3 and IP #4 and IP #2
14 Speed,10 Amount of Substance,IP #2 and IP #35 and IP #19 and IP #5 and IP #10 and IP #38 and IP #9
14 Speed,11 Amount of Information, and IP #7 and IP #2 and IP #10 and IP #5 and IP #37 and IP #28 and IP #3
14 Speed,12 Duration of Action of Moving Object,IP #35 and IP #40 and IP #19 and IP #3 and IP #5 and IP #13
14 Speed,13 Duration of Action of Stationary Object,IP #3 and IP #13 and IP #35 and IP #5 and IP #2 and IP #24
14 Speed,14 Speed,see physical contradiction
14 Speed,15 Force/Torque,IP #19 and IP #13 and IP #15 and IP #28 and IP #29 and IP #3 and IP #18 and IP #5 and IP #17
14 Speed,16 Energy Used by Moving Object,IP #35 and IP #28 and IP #38 and IP #19 and IP #12 and IP #15
14 Speed,17 Energy Used by Stationary Object,IP #35 and IP #19 and IP #28 and IP #12 and IP #38
14 Speed,18 Power,IP #19 and IP #35 and IP #13 and IP #36 and IP #2 and IP #28 and IP #38
14 Speed,19 Stress/Pressure,IP #28 and IP #14 and IP #6 and IP #40 and IP #38 and IP #18 and IP #12 and IP #35
14 Speed,20 Strength,IP #28 and IP #8 and IP #3 and IP #14 and IP #5 and IP #40 and IP #26
14 Speed,21 Stability,IP #28 and IP #2 and IP #3 and IP #5 and IP #33 and IP #18
14 Speed,22 Temperature,IP #28 and IP #36 and IP #31 and IP #3 and IP #40 and IP #2 and IP #30
14 Speed,23 Illumination Intensity,IP #19 and IP #35 and IP #13 and IP #10 and IP #24 and IP #32 and IP #26
14 Speed,24 Function Efficiency,IP #35 and IP #13 and IP #10 and IP #24 and IP #19 and IP #3 and IP #4 and IP #1 and IP #20
14 Speed,25 Loss of Substance,IP #28 and IP #35 and IP #13 and IP #10 and IP #1 and IP #3 and IP #38
14 Speed,26 Loss of Time,IP #13 and IP #5 and IP #10 and IP #3 and IP #1 and IP #25 and IP #19
14 Speed,27 Loss of Energy,IP #19 and IP #1 and IP #35 and IP #14 and IP #20 and IP #5 and IP #13
14 Speed,28 Loss of Information,IP #10 and IP #7 and IP #6 and IP #24 and IP #26 and IP #37 and IP #3
14 Speed,29 Noise,IP #3 and IP #14 and IP #28 and IP #9 and IP #5 and IP #17 and IP #24
14 Speed,30 Harmful Emissions,IP #19 and IP #18 and IP #1 and IP #24 and IP #3 and IP #35
14 Speed,31 Other Harmful Effects Generated by System,IP #35 and IP #21 and IP #2 and IP #24 and IP #33 and IP #28 and IP #11 and IP #16 and IP #34
14 Speed,32 Adaptability / Versatility,IP #15 and IP #10 and IP #28 and IP #26 and IP #1 and IP #30 and IP #35
14 Speed,33 Compatibility /  Connectability,IP #7 and IP #19 and IP #6 and IP #24 and IP #3 and IP #2
14 Speed,34 Trainability / Operability / Controllability,IP #28 and IP #37 and IP #13 and IP #25 and IP #32 and IP #15 and IP #17
14 Speed,35 Reliability / Robustness,IP #35 and IP #28 and IP #23 and IP #24 and IP #2 and IP #11 and IP #40
14 Speed,36 Repairability,IP #28 and IP #2 and IP #34 and IP #13 and IP #23 and IP #27 and IP #1
14 Speed,37 Security,IP #28 and IP #24 and IP #10 and IP #2 and IP #19 and IP #32
14 Speed,38 Safety / Vulnerability,IP #31 and IP #35 and IP #11 and IP #13 and IP #3 and IP #7 and IP #40
14 Speed,39 Aesthetics / Appearance,IP #14 and IP #3 and IP #32 and IP #22 and IP #17 and IP #4
14 Speed,40 Other Harmful Effects Acting on System,IP #28 and IP #35 and IP #19 and IP #4 and IP #11 and IP #22 and IP #18 and IP #21
14 Speed,41 Manufacturability,IP #35 and IP #13 and IP #28 and IP #1 and IP #8 and IP #29 and IP #17
14 Speed,42 Manufacture Precision / Consistency,IP #28 and IP #10 and IP #25 and IP #12 and IP #16 and IP #35 and IP #24
14 Speed,43 Automation,IP #10 and IP #28 and IP #2 and IP #13 and IP #17 and IP #24
14 Speed,44 Productivity,IP #2 and IP #3 and IP #28 and IP #10 and IP #13 and IP #35 and IP #24
14 Speed,45 System Complexity,IP #5 and IP #28 and IP #4 and IP #10 and IP #13 and IP #34 and IP #40 and IP #30
14 Speed,46 Control Complexity,IP #25 and IP #10 and IP #19 and IP #1 and IP #4 and IP #13
14 Speed,47 Ability to Detect / Measure,IP #3 and IP #26 and IP #24 and IP #16 and IP #28 and IP #34 and IP #27
14 Speed,48 Measurement Precision,IP #28 and IP #25 and IP #24 and IP #32 and IP #1 and IP #13 and IP #17 and IP #26
15 Force / Torque,01 Weight of Moving Object,IP #8 and IP #1 and IP #9 and IP #13 and IP #37 and IP #28 and IP #31 and IP #35 and IP #18
15 Force / Torque,02 Weight of Stationary Object,IP #9 and IP #13 and IP #28 and IP #1 and IP #35 and IP #40 and IP #18
15 Force / Torque,03 Length / Angle of Moving Object,IP #17 and IP #35 and IP #9 and IP #3 and IP #14 and IP #19 and IP #28 and IP #36 and IP #29
15 Force / Torque,04 Length / Angle of Stationary Object,IP #35 and IP #28 and IP #17 and IP #9 and IP #17 and IP #40 and IP #10 and IP #37
15 Force / Torque,05 Area of Moving Object,IP #15 and IP #17 and IP #10 and IP #14 and IP #19 and IP #3 and IP #29 and IP #39 and IP #40
15 Force / Torque,06 Area of Stationary Object,IP #1 and IP #3 and IP #17 and IP #40 and IP #37 and IP #18 and IP #9 and IP #35
15 Force / Torque,07 Volume of Moving Object,IP #12 and IP #15 and IP #9 and IP #35 and IP #37 and IP #14 and IP #4
15 Force / Torque,08 Volume of Stationary Object,IP #1 and IP #18 and IP #37 and IP #35 and IP #3 and IP #2 and IP #10 and IP #36
15 Force / Torque,09 Shape,IP #35 and IP #10 and IP #3 and IP #40 and IP #31 and IP #34 and IP #4 and IP #14
15 Force / Torque,10 Amount of Substance,IP #14 and IP #18 and IP #29 and IP #28 and IP #35 and IP #3 and IP #1 and IP #8 and IP #36
15 Force / Torque,11 Amount of Information,IP #13 and IP #17 and IP #37 and IP #3 and IP #1 and 
15 Force / Torque,12 Duration of Action of Moving Object,IP #19 and IP #10 and IP #2 and IP #12 and IP #28
15 Force / Torque,13 Duration of Action of Stationary Object,IP #2 and IP #10 and IP #13 and IP #3 and IP #12 and IP #19 and IP #26
15 Force / Torque,14 Speed,IP #13 and IP #15 and IP #9 and IP #28 and IP #12 and IP #2
15 Force / Torque,15 Force / Torque,see physical contradiction
15 Force / Torque,16 Energy Used by Moving Object,IP #19 and IP #17 and IP #35 and IP #10 and IP #2 and IP #8 and IP #3 and IP #24
15 Force / Torque,17 Energy Used by Stationary Object,IP #1 and IP #35 and IP #10 and IP #19 and IP #8 and IP #17 and IP #37
15 Force / Torque,18 Power,IP #19 and IP #35 and IP #37 and IP #17 and IP #1 and IP #28 and IP #18
15 Force / Torque,19 Stress / Pressure,IP #21 and IP #18 and IP #9 and IP #40 and IP #12 and IP #2 and IP #24 and IP #17 and IP #3
15 Force / Torque,20 Strength,IP #35 and IP #14 and IP #9 and IP #3 and IP #17 and IP #5 and IP #27 and IP #7
15 Force / Torque,21 Stability,IP #35 and IP #10 and IP #24 and IP #21 and IP #1 and IP #13 and IP #12 and IP #37
15 Force / Torque,22 Temperature,IP #35 and IP #36 and IP #21 and IP #10 and IP #24 and IP #31
15 Force / Torque,23 Illumination Intensity,IP #13 and IP #2 and IP #19 and IP #35 and IP #24 and IP #5 and IP #3
15 Force / Torque,24 Function Efficiency,IP #19 and IP #35 and IP #6 and IP #13 and IP #34 and IP #15
15 Force / Torque,25 Loss of Substance,IP #3 and IP #35 and IP #40 and IP #12 and IP #17 and IP #5 and IP #28
15 Force / Torque,26 Loss of Time,IP #10 and IP #3 and IP #23 and IP #37 and IP #25 and IP #5
15 Force / Torque,27 Loss of Energy,IP #19 and IP #15 and IP #2 and IP #5 and IP #14 and IP #35 and IP #34
15 Force / Torque,28 Loss of Information,IP #37 and IP #32 and IP #7 and IP #24 and IP #1 and IP #13 and IP #10
15 Force / Torque,29 Noise,IP #13 and IP #9 and IP #24 and IP #12 and IP #10 and IP #5 and IP #7 and IP #14
15 Force / Torque,30 Harmful Emissions,IP #15 and IP #2 and IP #35 and IP #5 and IP #21 and IP #3 and IP #13
15 Force / Torque,31 Other Harmful Effects Generated by System,IP #3 and IP #13 and IP #24 and IP #14 and IP #17 and IP #29 and IP #23 and IP #40 and IP #12
15 Force / Torque,32 Adaptability / Versatility,IP #15 and IP #17 and IP #3 and IP #19 and IP #29 and IP #35 and IP #4 and IP #18 and IP #24
15 Force / Torque,33 Compatibility /  Connectability,IP #28 and IP #5 and IP #6 and IP #25 and IP #24
15 Force / Torque,34 Trainability / Operability / Controllability,IP #1 and IP #28 and IP #25 and IP #4 and IP #3 and IP #19 and IP #29 and IP #17 and IP #10
15 Force / Torque,35 Reliability / Robustness,IP #14 and IP #35 and IP #1 and IP #13 and IP #24 and IP #3 and IP #40
15 Force / Torque,36 Repairability,IP #15 and IP #17 and IP #1 and IP #13 and IP #2
15 Force / Torque,37 Security,IP #10 and IP #28 and IP #3 and IP #13 and IP #15 and IP #1
15 Force / Torque,38 Safety / Vulnerability,IP #2 and IP #12 and IP #31 and IP #39 and IP #11 and IP #17 and IP #24
15 Force / Torque,39 Aesthetics / Appearance,IP #14 and IP #3 and IP #7 and IP #12 and IP #35 and IP #31 and IP #30
15 Force / Torque,40 Other Harmful Effects Acting on System,IP #10 and IP #35 and IP #40 and IP #22 and IP #17 and IP #15 and IP #33 and IP #21 and IP #39
15 Force / Torque,41 Manufacturability,IP #15 and IP #18 and IP #35 and IP #6 and IP #37 and IP #16 and IP #10
15 Force / Torque,42 Manufacture Precision / Consistency,IP #28 and IP #29 and IP #5 and IP #37 and IP #36 and IP #12 and IP #13 and IP #17 and IP #25
15 Force / Torque,43 Automation,IP #2 and IP #10 and IP #35 and IP #13 and IP #25
15 Force / Torque,44 Productivity,IP #35 and IP #28 and IP #3 and IP #10 and IP #37 and IP #25 and IP #5
15 Force / Torque,45 System Complexity,IP #5 and IP #10 and IP #35 and IP #4 and IP #28 and IP #18 and IP #14 and IP #26
15 Force / Torque,46 Control Complexity,IP #37 and IP #10 and IP #28 and IP #25 and IP #3 and IP #13 and IP #2
15 Force / Torque,47 Ability to Detect / Measure,IP #37 and IP #10 and IP #19 and IP #3 and IP #28 and IP #29 and IP #36
15 Force / Torque,48 Measurement Precision,IP #24 and IP #37 and IP #32 and IP #3 and IP #28 and IP #10
16 Energy Used by Moving Object,01 Weight of Moving Object,IP #28 and IP #35 and IP #19 and IP #12 and IP #31 and IP #18 and IP #5
16 Energy Used by Moving Object,02 Weight of Stationary Object,IP #28 and IP #35 and IP #5 and IP #12 and IP #18 and IP #31 and IP #13
16 Energy Used by Moving Object,03 Length / Angle of Moving Object,IP #28 and IP #12 and IP #15 and IP #35 and IP #17 and IP #19
16 Energy Used by Moving Object,04 Length / Angle of Stationary Object,IP #35 and IP #2 and IP #19 and IP #15 and IP #28
16 Energy Used by Moving Object,05 Area of Moving Object,IP #15 and IP #19 and IP #4 and IP #3 and IP #25 and IP #14
16 Energy Used by Moving Object,06 Area of Stationary Object,IP #35 and IP #2 and IP #17 and IP #14 and IP #15 and IP #3
16 Energy Used by Moving Object,07 Volume of Moving Object,IP #13 and IP #35 and IP #18 and IP #29 and IP #2 and IP #17 and IP #25
16 Energy Used by Moving Object,08 Volume of Stationary Object,IP #3 and IP #25 and IP #34 and IP #38 and IP #35 and IP #7 and IP #2
16 Energy Used by Moving Object,09 Shape,IP #29 and IP #2 and IP #3 and IP #12 and IP #19 and IP #15 and IP #28
16 Energy Used by Moving Object,10 Amount of Substance,IP #35 and IP #2 and IP #34 and IP #19 and IP #18 and IP #16 and IP #38 and IP #30
16 Energy Used by Moving Object,11 Amount of Information, and IP #7 and IP #2 and IP #25 and IP #24 and IP #3 and IP #37
16 Energy Used by Moving Object,12 Duration of Action of Moving Object,IP #18 and IP #28 and IP #35 and IP #6 and IP #15 and IP #12 and IP #10
16 Energy Used by Moving Object,13 Duration of Action of Stationary Object,IP #28 and IP #2 and IP #35 and IP #13 and IP #6 and IP #12 and IP #10 and IP #19
16 Energy Used by Moving Object,14 Speed,IP #35 and IP #28 and IP #13 and IP #19 and IP #5 and IP #8
16 Energy Used by Moving Object,15 Force / Torque,IP #21 and IP #2 and IP #19 and IP #35 and IP #26 and IP #16 and IP #18 and IP #24 and IP #3
16 Energy Used by Moving Object,16 Energy Used by Moving Object,see physical contradiction
16 Energy Used by Moving Object,17 Energy Used by Stationary Object,IP #15 and IP #28 and IP #13 and IP #2 and IP #35
16 Energy Used by Moving Object,18 Power,IP #19 and IP #6 and IP #34 and IP #37 and IP #18 and IP #7 and IP #15
16 Energy Used by Moving Object,19 Stress / Pressure,IP #14 and IP #25 and IP #15 and IP #17 and IP #28 and IP #37 and IP #7 and IP #3 and IP #19
16 Energy Used by Moving Object,20 Strength,IP #19 and IP #35 and IP #5 and IP #9 and IP #29 and IP #28 and IP #12
16 Energy Used by Moving Object,21 Stability,IP #13 and IP #19 and IP #24 and IP #17 and IP #5 and IP #39 and IP #35
16 Energy Used by Moving Object,22 Temperature,IP #24 and IP #19 and IP #36 and IP #2 and IP #3 and IP #14 and IP #4
16 Energy Used by Moving Object,23 Illumination Intensity,IP #35 and IP #19 and IP #24 and IP #5 and IP #14 and IP #3 and IP #25
16 Energy Used by Moving Object,24 Function Efficiency,IP #2 and IP #13 and IP #28 and IP #12 and IP #10 and IP #15 and IP #3 and IP #6
16 Energy Used by Moving Object,25 Loss of Substance,IP #28 and IP #35 and IP #5 and IP #3 and IP #18 and IP #24
16 Energy Used by Moving Object,26 Loss of Time,IP #10 and IP #18 and IP #28 and IP #5 and IP #35 and IP #38 and IP #20
16 Energy Used by Moving Object,27 Loss of Energy,IP #19 and IP #15 and IP #12 and IP #28 and IP #24 and IP #21 and IP #34 and IP #13
16 Energy Used by Moving Object,28 Loss of Information,IP #13 and IP #24 and IP #7 and IP #22 and IP #37 and IP #2
16 Energy Used by Moving Object,29 Noise,IP #17 and IP #14 and IP #4 and IP #7 and IP #5 and IP #9 and IP #31
16 Energy Used by Moving Object,30 Harmful Emissions,IP #1 and IP #24 and IP #19 and IP #21 and IP #4 and IP #15 and IP #2
16 Energy Used by Moving Object,31 Other Harmful Effects Generated by System,IP #35 and IP #2 and IP #11 and IP #16 and IP #6 and IP #39 and IP #25 and IP #3
16 Energy Used by Moving Object,32 Adaptability / Versatility,IP #24 and IP #15 and IP #13 and IP #29 and IP #28 and IP #17 and IP #30 and IP #7
16 Energy Used by Moving Object,33 Compatibility /  Connectability,IP #10 and IP #24 and IP #28 and IP #1 and IP #13
16 Energy Used by Moving Object,34 Trainability / Operability / Controllability,IP #28 and IP #3 and IP #35 and IP #1 and IP #26 and IP #19 and 
16 Energy Used by Moving Object,35 Reliability / Robustness,IP #13 and IP #21 and IP #10 and IP #35 and IP #15 and IP #28
16 Energy Used by Moving Object,36 Repairability,IP #1 and IP #17 and IP #28 and IP #10 and IP #15 and IP #13
16 Energy Used by Moving Object,37 Security,IP #10 and IP #28 and IP #5 and IP #24 and IP #13
16 Energy Used by Moving Object,38 Safety / Vulnerability,IP #12 and IP #39 and IP #35 and IP #31 and IP #30 and IP #11 and IP #24
16 Energy Used by Moving Object,39 Aesthetics / Appearance,IP #17 and IP #7 and IP #4 and IP #3 and IP #32
16 Energy Used by Moving Object,40 Other Harmful Effects Acting on System,IP #2 and IP #10 and IP #3 and IP #22 and IP #37 and IP #34 and IP #9 and IP #7
16 Energy Used by Moving Object,41 Manufacturability,IP #28 and IP #5 and IP #30 and IP #10 and IP #40 and IP #26 and IP #8 and IP #2
16 Energy Used by Moving Object,42 Manufacture Precision / Consistency,IP #10 and IP #25 and IP #12 and IP #24 and IP #26 and IP #3
16 Energy Used by Moving Object,43 Automation,IP #2 and IP #10 and IP #13 and IP #5 and IP #17 and IP #15 and IP #3 and IP #32
16 Energy Used by Moving Object,44 Productivity,IP #35 and IP #28 and IP #24 and IP #25 and IP #12 and IP #10 and IP #1
16 Energy Used by Moving Object,45 System Complexity,IP #5 and IP #2 and IP #28 and IP #27 and IP #12 and IP #13
16 Energy Used by Moving Object,46 Control Complexity,IP #3 and IP #5 and IP #25 and IP #10 and IP #37 and IP #13 and IP #1
16 Energy Used by Moving Object,47 Ability to Detect / Measure,IP #10 and IP #37 and IP #3 and IP #25 and IP #13 and IP #7
16 Energy Used by Moving Object,48 Measurement Precision,IP #37 and IP #3 and IP #5 and IP #28 and IP #8 and IP #30 and IP #32
17 Energy Used by Stationary Object,01 Weight of Moving Object,IP #35 and IP #28 and IP #13 and IP #8 and IP #3 and IP #19
17 Energy Used by Stationary Object,02 Weight of Stationary Object,IP #19 and IP #13 and IP #35 and IP #9 and IP #28 and IP #6
17 Energy Used by Stationary Object,03 Length / Angle of Moving Object,IP #17 and IP #4 and IP #12 and IP #3 and IP #24 and IP #14
17 Energy Used by Stationary Object,04 Length / Angle of Stationary Object,IP #4 and IP #17 and IP #9 and IP #19 and IP #3 and IP #16
17 Energy Used by Stationary Object,05 Area of Moving Object,IP #3 and IP #4 and IP #13 and IP #5 and IP #12 and IP #24
17 Energy Used by Stationary Object,06 Area of Stationary Object,IP #4 and IP #17 and IP #3 and IP #14 and IP #16 and IP #19
17 Energy Used by Stationary Object,07 Volume of Moving Object,IP #2 and IP #35 and IP #13 and IP #19 and IP #13 and IP #18 and IP #28 and IP #4
17 Energy Used by Stationary Object,08 Volume of Stationary Object,IP #35 and IP #39 and IP #19 and IP #2 and IP #18 and IP #28 and IP #4 and IP #9
17 Energy Used by Stationary Object,09 Shape,IP #7 and IP #35 and IP #24 and IP #30 and IP #13 and IP #5 and IP #10 and IP #36
17 Energy Used by Stationary Object,10 Amount of Substance,IP #35 and IP #31 and IP #3 and IP #24 and IP #28 and IP #13 and IP #4 and IP #9
17 Energy Used by Stationary Object,11 Amount of Information, and IP #2 and IP #19 and IP #17 and IP #20 and IP #7
17 Energy Used by Stationary Object,12 Duration of Action of Moving Object,IP #40 and IP #35 and IP #3 and IP #19 and IP #4 and IP #28 and IP #24
