Improving Parameter,Worsening Parameter,Inventive Principles
10 Force (Intensity),31 Object-generated harmful factor,IP #13 and IP #3 and IP #36 and IP #24
10 Force (Intensity),32 Ease of manufacture,IP #15 and IP #37 and IP #18 and IP #1
10 Force (Intensity),33 Ease of operation,IP #1 and IP #28 and IP #3 and IP #25
10 Force (Intensity),34 Ease of repair,IP #15 and IP #1 and IP #11
10 Force (Intensity),35 Adaptability or Versatility,IP #15 and IP #17 and IP #18 and IP #20
10 Force (Intensity),36 Device complexity,IP #26 and IP #35 and IP #10 and IP #18
10 Force (Intensity),37 Difficulty of detection,IP #36 and IP #37 and IP #10 and IP #19
10 Force (Intensity),38 Extent of automation,IP #2 and IP #35
10 Force (Intensity),39 Productivity,IP #3 and IP #28 and IP #35 and IP #37
11 Stress or pressure,01 Weight of moving object,IP #10 and IP #36 and IP #37 and IP #40
11 Stress or pressure,02 Weight of stationary object,IP #13 and IP #29 and IP #10 and IP #18
11 Stress or pressure,03 Length of moving object,IP #35 and IP #10 and IP #36
11 Stress or pressure,04 Length of stationary object,IP #35 and IP #1 and IP #14 and IP #16
11 Stress or pressure,05 Area of moving object,IP #10 and IP #15 and IP #36 and IP #28
11 Stress or pressure,06 Area of stationary object,IP #10 and IP #15 and IP #36 and IP #37
11 Stress or pressure,07 Volume of moving object,IP #6 and IP #35 and IP #10
11 Stress or pressure,08 Volume of stationary object,IP #35 and IP #24
11 Stress or pressure,09 Speed,IP #6 and IP #35 and IP #36
11 Stress or pressure,10 Force (Intensity),IP #36 and IP #35 and IP #21
11 Stress or pressure,11 Stress or pressure,see physical contradiction
11 Stress or pressure,12 Shape,IP #35 and IP #4 and IP #15 and IP #10
11 Stress or pressure,13 Stability of the object composition,IP #35 and IP #33 and IP #2 and IP #40
11 Stress or pressure,14 Strength,IP #9 and IP #18 and IP #3 and IP #40
11 Stress or pressure,15 Duration of action of moving object,IP #19 and IP #3 and IP #27
11 Stress or pressure,16 Duration of action of stationary object,no preferred inventive principles
11 Stress or pressure,17 Temperature,IP #35 and IP #39 and IP #19 and IP #2
11 Stress or pressure,18 Illumination intensity,no preferred inventive principles
11 Stress or pressure,19 Use of energy by moving object,IP #14 and IP #24 and IP #10 and IP #37
11 Stress or pressure,20 Use of energy by stationary object,no preferred inventive principles
11 Stress or pressure,21 Power,IP #10 and IP #35 and IP #14
11 Stress or pressure,22 Loss of energy,IP #2 and IP #36 and IP #25
11 Stress or pressure,23 Loss of substance,IP #10 and IP #36 and IP #3 and IP #37
11 Stress or pressure,24 Loss of information,no preferred inventive principles
11 Stress or pressure,25 Loss of time,IP #37 and IP #36 and IP #4
11 Stress or pressure,26 Quantity of substance,IP #10 and IP #14 and IP #36
11 Stress or pressure,27 Reliability,IP #10 and IP #13 and IP #19 and IP #35
11 Stress or pressure,28 Measurement accuracy,IP #6 and IP #28 and IP #25
11 Stress or pressure,29 Manufacturing precision,IP #3 and IP #35
11 Stress or pressure,30 Object-affected harmful factor,IP #22 and IP #2 and IP #37
11 Stress or pressure,31 Object-generated harmful factor,IP #2 and IP #33 and IP #27 and IP #18
11 Stress or pressure,32 Ease of manufacture,IP #1 and IP #35 and IP #16
11 Stress or pressure,33 Ease of operation,IP #11
11 Stress or pressure,34 Ease of repair,IP #2
11 Stress or pressure,35 Adaptability or Versatility,IP #35
11 Stress or pressure,36 Device complexity,IP #19 and IP #1 and IP #35
11 Stress or pressure,37 Difficulty of detection,IP #2 and IP #36 and IP #37
11 Stress or pressure,38 Extent of automation,IP #35 and IP #24
11 Stress or pressure,39 Productivity,IP #10 and IP #14 and IP #35 and IP #37
12 Shape,01 Weight of moving object,IP #8 and IP #10 and IP #29 and IP #40
12 Shape,02 Weight of stationary object,IP #15 and IP #10 and IP #26 and IP #3
12 Shape,03 Length of moving object,IP #29 and IP #34 and IP #5 and IP #4
12 Shape,04 Length of stationary object,IP #13 and IP #14 and IP #10 and IP #7
12 Shape,05 Area of moving object,IP #5 and IP #34 and IP #4 and IP #10
12 Shape,06 Area of stationary object,no preferred inventive principles
12 Shape,07 Volume of moving object,IP #14 and IP #4 and IP #15 and IP #22
12 Shape,08 Volume of stationary object,IP #7 and IP #2 and IP #35
12 Shape,09 Speed,IP #35 and IP #15 and IP #34 and IP #18
12 Shape,10 Force (Intensity),IP #35 and IP #10 and IP #37 and IP #40
12 Shape,11 Stress or pressure,IP #34 and IP #15 and IP #10 and IP #14
12 Shape,12 Shape,see physical contradiction
12 Shape,13 Stability of the object composition,IP #33 and IP #1 and IP #18 and IP #4
12 Shape,14 Strength,IP #30 and IP #14 and IP #10 and IP #40
12 Shape,15 Duration of action of moving object,IP #14 and IP #26 and IP #9 and IP #25
12 Shape,16 Duration of action of stationary object,no preferred inventive principles
12 Shape,17 Temperature,IP #22 and IP #14 and IP #19 and IP #32
12 Shape,18 Illumination intensity,IP #13 and IP #15 and IP #32
12 Shape,19 Use of energy by moving object,IP #2 and IP #6 and IP #34 and IP #14
12 Shape,20 Use of energy by stationary object,no preferred inventive principles
12 Shape,21 Power,IP #4 and IP #6 and IP #2
12 Shape,22 Loss of energy,IP #14
12 Shape,23 Loss of substance,IP #35 and IP #29 and IP #3 and IP #5
12 Shape,24 Loss of information,no preferred inventive principles
12 Shape,25 Loss of time,IP #14 and IP #10 and IP #34 and IP #17
12 Shape,26 Quantity of substance,IP #36 and IP #22
12 Shape,27 Reliability,IP #10 and IP #40 and IP #16
12 Shape,28 Measurement accuracy,IP #28 and IP #32 and IP #1
12 Shape,29 Manufacturing precision,IP #32 and IP #30 and IP #40
12 Shape,30 Object-affected harmful factor,IP #22 and IP #1 and IP #2 and IP #35
12 Shape,31 Object-generated harmful factor,IP #35 and IP #1
12 Shape,32 Ease of manufacture,IP #1 and IP #32 and IP #17 and IP #28
12 Shape,33 Ease of operation,IP #32 and IP #15 and IP #26
12 Shape,34 Ease of repair,IP #2 and IP #13 and IP #1
12 Shape,35 Adaptability or Versatility,IP #1 and IP #15 and IP #29
12 Shape,36 Device complexity,IP #16 and IP #29 and IP #1 and IP #28
12 Shape,37 Difficulty of detection,IP #15 and IP #13 and IP #39
12 Shape,38 Extent of automation,IP #15 and IP #1 and IP #32
12 Shape,39 Productivity,IP #17 and IP #26 and IP #34 and IP #10
13 Stability of the object composition,01 Weight of moving object,IP #21 and IP #35 and IP #2 and IP #39
13 Stability of the object composition,02 Weight of stationary object,IP #26 and IP #39 and IP #1 and IP #40
13 Stability of the object composition,03 Length of moving object,IP #13 and IP #15 and IP #1 and IP #28
13 Stability of the object composition,04 Length of stationary object,IP #37
13 Stability of the object composition,05 Area of moving object,IP #2 and IP #11 and IP #13
13 Stability of the object composition,06 Area of stationary object,IP #39
13 Stability of the object composition,07 Volume of moving object,IP #28 and IP #10 and IP #19 and IP #39
13 Stability of the object composition,08 Volume of stationary object,IP #34 and IP #28 and IP #35 and IP #40
13 Stability of the object composition,09 Speed,IP #33 and IP #15 and IP #28 and IP #18
13 Stability of the object composition,10 Force (Intensity),IP #10 and IP #35 and IP #21 and IP #16
13 Stability of the object composition,11 Stress or pressure,IP #2 and IP #35 and IP #40
13 Stability of the object composition,12 Shape,IP #22 and IP #1 and IP #18 and IP #4
13 Stability of the object composition,13 Stability of the object composition,see physical contradiction
13 Stability of the object composition,14 Strength,IP #17 and IP #9 and IP #15
13 Stability of the object composition,15 Duration of action of moving object,IP #13 and IP #27 and IP #10 and IP #35
13 Stability of the object composition,16 Duration of action of stationary object,IP #39 and IP #3 and IP #35 and IP #23
13 Stability of the object composition,17 Temperature,IP #35 and IP #1 and IP #32
13 Stability of the object composition,18 Illumination intensity,IP #32 and IP #3 and IP #27 and IP #16
13 Stability of the object composition,19 Use of energy by moving object,IP #13 and IP #19
13 Stability of the object composition,20 Use of energy by stationary object,IP #27 and IP #4 and IP #29 and IP #18
13 Stability of the object composition,21 Power,IP #32 and IP #35 and IP #27 and IP #31
13 Stability of the object composition,22 Loss of energy,IP #14 and IP #2 and IP #39 and IP #6
13 Stability of the object composition,23 Loss of substance,IP #2 and IP #14 and IP #30 and IP #40
13 Stability of the object composition,24 Loss of information,no preferred inventive principles
13 Stability of the object composition,25 Loss of time,IP #35 and IP #27
13 Stability of the object composition,26 Quantity of substance,IP #15 and IP #32 and IP #35
13 Stability of the object composition,27 Reliability,no preferred inventive principles
13 Stability of the object composition,28 Measurement accuracy,IP #13
13 Stability of the object composition,29 Manufacturing precision,IP #18
13 Stability of the object composition,30 Object-affected harmful factor,IP #35 and IP #24 and IP #30 and IP #18
13 Stability of the object composition,31 Object-generated harmful factor,IP #35 and IP #40 and IP #27 and IP #39
13 Stability of the object composition,32 Ease of manufacture,IP #35 and IP #19
13 Stability of the object composition,33 Ease of operation,IP #32 and IP #35 and IP #30
13 Stability of the object composition,34 Ease of repair,IP #2 and IP #35 and IP #10 and IP #16
13 Stability of the object composition,35 Adaptability or Versatility,IP #35 and IP #30 and IP #34 and IP #2
13 Stability of the object composition,36 Device complexity,IP #2 and IP #35 and IP #22 and IP #26
13 Stability of the object composition,37 Difficulty of detection,IP #35 and IP #22 and IP #39 and IP #23
13 Stability of the object composition,38 Extent of automation,IP #1 and IP #8 and IP #35
13 Stability of the object composition,39 Productivity,IP #23 and IP #35 and IP #40 and IP #3
14 Strength,01 Weight of moving object,IP #1 and IP #8 and IP #40 and IP #15
14 Strength,02 Weight of stationary object,IP #40 and IP #26 and IP #27 and IP #1
14 Strength,03 Length of moving object,IP #1 and IP #15 and IP #8 and IP #35
14 Strength,04 Length of stationary object,IP #15 and IP #14 and IP #28 and IP #26
14 Strength,05 Area of moving object,IP #3 and IP #34 and IP #40 and IP #29
14 Strength,06 Area of stationary object,IP #9 and IP #40 and IP #28
14 Strength,07 Volume of moving object,IP #10 and IP #15 and IP #14 and IP #7
14 Strength,08 Volume of stationary object,IP #9 and IP #14 and IP #17 and IP #15
14 Strength,09 Speed,IP #8 and IP #13 and IP #26 and IP #14
14 Strength,10 Force (Intensity),IP #10 and IP #18 and IP #3 and IP #14
14 Strength,11 Stress or pressure,IP #10 and IP #3 and IP #18 and IP #40
14 Strength,12 Shape,IP #10 and IP #30 and IP #35 and IP #40
14 Strength,13 Stability of the object composition,IP #13 and IP #17 and IP #35
14 Strength,14 Strength,see physical contradiction
14 Strength,15 Duration of action of moving object,IP #27 and IP #3 and IP #26
14 Strength,16 Duration of action of stationary object,no preferred inventive principles
14 Strength,17 Temperature,IP #30 and IP #10 and IP #40
14 Strength,18 Illumination intensity,IP #35 and IP #19
14 Strength,19 Use of energy by moving object,IP #19 and IP #35 and IP #10
14 Strength,20 Use of energy by stationary object,IP #35
14 Strength,21 Power,IP #10 and IP #26 and IP #35 and IP #28
14 Strength,22 Loss of energy,IP #35
14 Strength,23 Loss of substance,IP #35 and IP #28 and IP #31 and IP #40
14 Strength,24 Loss of information,no preferred inventive principles
14 Strength,25 Loss of time,IP #29 and IP #3 and IP #28 and IP #10
14 Strength,26 Quantity of substance,IP #29 and IP #10 and IP #27
14 Strength,27 Reliability,IP #11 and IP #3
14 Strength,28 Measurement accuracy,IP #3 and IP #27 and IP #16
14 Strength,29 Manufacturing precision,IP #3 and IP #27
14 Strength,30 Object-affected harmful factor,IP #18 and IP #35 and IP #37 and IP #1
14 Strength,31 Object-generated harmful factor,IP #15 and IP #35 and IP #22 and IP #2
14 Strength,32 Ease of manufacture,IP #11 and IP #3 and IP #10 and IP #32
14 Strength,33 Ease of operation,IP #32 and IP #40 and IP #25 and IP #2
14 Strength,34 Ease of repair,IP #27 and IP #11 and IP #3
14 Strength,35 Adaptability or Versatility,IP #15 and IP #3 and IP #32
14 Strength,36 Device complexity,IP #2 and IP #13 and IP #25 and IP #28
14 Strength,37 Difficulty of detection,IP #27 and IP #3 and IP #15 and IP #40
14 Strength,38 Extent of automation,IP #15
14 Strength,39 Productivity,IP #29 and IP #35 and IP #10 and IP #14
15 Duration of action of moving object,01 Weight of moving object,IP #19 and IP #5 and IP #34 and IP #31
15 Duration of action of moving object,02 Weight of stationary object,no preferred inventive principles
15 Duration of action of moving object,03 Length of moving object,IP #2 and IP #19 and IP #9
15 Duration of action of moving object,04 Length of stationary object,no preferred inventive principles
15 Duration of action of moving object,05 Area of moving object,IP #3 and IP #17 and IP #19
15 Duration of action of moving object,06 Area of stationary object,no preferred inventive principles
15 Duration of action of moving object,07 Volume of moving object,IP #10 and IP #2 and IP #19 and IP #30
15 Duration of action of moving object,08 Volume of stationary object,no preferred inventive principles
15 Duration of action of moving object,09 Speed,IP #3 and IP #35 and IP #5
15 Duration of action of moving object,10 Force (Intensity),IP #19 and IP #2 and IP #16
15 Duration of action of moving object,11 Stress or pressure,IP #19 and IP #3 and IP #27
15 Duration of action of moving object,12 Shape,IP #14 and IP #26 and IP #28 and IP #25
15 Duration of action of moving object,13 Stability of the object composition,IP #13 and IP #3 and IP #35
15 Duration of action of moving object,14 Strength,IP #27 and IP #3 and IP #10
15 Duration of action of moving object,15 Duration of action of moving object,see physical contradiction
15 Duration of action of moving object,16 Duration of action of stationary object,no preferred inventive principles
15 Duration of action of moving object,17 Temperature,IP #19 and IP #35 and IP #39
15 Duration of action of moving object,18 Illumination intensity,IP #2 and IP #19 and IP #4 and IP #35
15 Duration of action of moving object,19 Use of energy by moving object,IP #28 and IP #6 and IP #35 and IP #18
15 Duration of action of moving object,20 Use of energy by stationary object,no preferred inventive principles
15 Duration of action of moving object,21 Power,IP #19 and IP #10 and IP #35 and IP #38
15 Duration of action of moving object,22 Loss of energy,no preferred inventive principles
15 Duration of action of moving object,23 Loss of substance,IP #28 and IP #27 and IP #3 and IP #18
15 Duration of action of moving object,24 Loss of information,IP #10
15 Duration of action of moving object,25 Loss of time,IP #20 and IP #10 and IP #28 and IP #18
15 Duration of action of moving object,26 Quantity of substance,IP #3 and IP #35 and IP #10 and IP #40
15 Duration of action of moving object,27 Reliability,IP #11 and IP #2 and IP #13
15 Duration of action of moving object,28 Measurement accuracy,IP #3
15 Duration of action of moving object,29 Manufacturing precision,IP #3 and IP #27 and IP #16 and IP #40
15 Duration of action of moving object,30 Object-affected harmful factor,IP #22 and IP #15 and IP #33 and IP #28
15 Duration of action of moving object,31 Object-generated harmful factor,IP #21 and IP #39 and IP #16 and IP #22
15 Duration of action of moving object,32 Ease of manufacture,IP #27 and IP #1 and IP #4
15 Duration of action of moving object,33 Ease of operation,IP #12 and IP #27
15 Duration of action of moving object,34 Ease of repair,IP #29 and IP #10 and IP #27
15 Duration of action of moving object,35 Adaptability or Versatility,IP #1 and IP #35 and IP #13
15 Duration of action of moving object,36 Device complexity,IP #10 and IP #4 and IP #29 and IP #15
15 Duration of action of moving object,37 Difficulty of detection,IP #19 and IP #29 and IP #39 and IP #35
15 Duration of action of moving object,38 Extent of automation,IP #6 and IP #10
15 Duration of action of moving object,39 Productivity,IP #35 and IP #17 and IP #14 and IP #19
16 Duration of action of stationary object,01 Weight of moving object,no preferred inventive principles
16 Duration of action of stationary object,02 Weight of stationary object,IP #6 and IP #27 and IP #19 and IP #16
16 Duration of action of stationary object,03 Length of moving object,no preferred inventive principles
16 Duration of action of stationary object,04 Length of stationary object,IP #1 and IP #40 and IP #35
16 Duration of action of stationary object,05 Area of moving object,no preferred inventive principles
16 Duration of action of stationary object,06 Area of stationary object,no preferred inventive principles
16 Duration of action of stationary object,07 Volume of moving object,no preferred inventive principles
16 Duration of action of stationary object,08 Volume of stationary object,IP #35 and IP #34 and IP #38
16 Duration of action of stationary object,09 Speed,no preferred inventive principles
16 Duration of action of stationary object,10 Force (Intensity),no preferred inventive principles
16 Duration of action of stationary object,11 Stress or pressure,no preferred inventive principles
16 Duration of action of stationary object,12 Shape,no preferred inventive principles
16 Duration of action of stationary object,13 Stability of the object composition,IP #39 and IP #3 and IP #35 and IP #23
16 Duration of action of stationary object,14 Strength,no preferred inventive principles
16 Duration of action of stationary object,15 Duration of action of moving object,no preferred inventive principles
16 Duration of action of stationary object,16 Duration of action of stationary object,see physical contradiction
16 Duration of action of stationary object,17 Temperature,IP #19 and IP #18 and IP #36 and IP #40
16 Duration of action of stationary object,18 Illumination intensity,no preferred inventive principles
16 Duration of action of stationary object,19 Use of energy by moving object,no preferred inventive principles
16 Duration of action of stationary object,20 Use of energy by stationary object,no preferred inventive principles
16 Duration of action of stationary object,21 Power,IP #16
16 Duration of action of stationary object,22 Loss of energy,no preferred inventive principles
16 Duration of action of stationary object,23 Loss of substance,IP #27 and IP #16 and IP #18 and IP #38
16 Duration of action of stationary object,24 Loss of information,IP #10
16 Duration of action of stationary object,25 Loss of time,IP #28 and IP #20 and IP #10 and IP #16
16 Duration of action of stationary object,26 Quantity of substance,IP #3 and IP #35 and IP #31
16 Duration of action of stationary object,27 Reliability,IP #34 and IP #27 and IP #6 and IP #40
16 Duration of action of stationary object,28 Measurement accuracy,IP #10 and IP #26 and IP #24
16 Duration of action of stationary object,29 Manufacturing precision,no preferred inventive principles
16 Duration of action of stationary object,30 Object-affected harmful factor,IP #17 and IP #1 and IP #40 and IP #33
16 Duration of action of stationary object,31 Object-generated harmful factor,IP #22
16 Duration of action of stationary object,32 Ease of manufacture,IP #35 and IP #10
16 Duration of action of stationary object,33 Ease of operation,IP #1
16 Duration of action of stationary object,34 Ease of repair,IP #1
16 Duration of action of stationary object,35 Adaptability or Versatility,IP #2
16 Duration of action of stationary object,36 Device complexity,no preferred inventive principles
16 Duration of action of stationary object,37 Difficulty of detection,IP #25 and IP #34 and IP #6 and IP #35
16 Duration of action of stationary object,38 Extent of automation,IP #1
16 Duration of action of stationary object,39 Productivity,IP #20 and IP #10 and IP #16 and IP #38
17 Temperature,01 Weight of moving object,IP #36 and IP #22 and IP #6 and IP #38
17 Temperature,02 Weight of stationary object,IP #22 and IP #35 and IP #32
17 Temperature,03 Length of moving object,IP #15 and IP #19 and IP #9
17 Temperature,04 Length of stationary object,IP #15 and IP #19 and IP #9
17 Temperature,05 Area of moving object,IP #3 and IP #35 and IP #39 and IP #18
17 Temperature,06 Area of stationary object,IP #35 and IP #38
17 Temperature,07 Volume of moving object,IP #34 and IP #39 and IP #40 and IP #18
17 Temperature,08 Volume of stationary object,IP #35 and IP #6 and IP #4
17 Temperature,09 Speed,IP #2 and IP #28 and IP #36 and IP #30
17 Temperature,10 Force (Intensity),IP #35 and IP #10 and IP #3 and IP #21
17 Temperature,11 Stress or pressure,IP #35 and IP #39 and IP #19 and IP #2
17 Temperature,12 Shape,IP #14 and IP #22 and IP #19 and IP #32
17 Temperature,13 Stability of the object composition,IP #1 and IP #35 and IP #32
17 Temperature,14 Strength,IP #10 and IP #30 and IP #22 and IP #40
17 Temperature,15 Duration of action of moving object,IP #19 and IP #13 and IP #39
17 Temperature,16 Duration of action of stationary object,IP #19 and IP #18 and IP #36 and IP #40
17 Temperature,17 Temperature,see physical contradiction
17 Temperature,18 Illumination intensity,IP #32 and IP #30 and IP #21 and IP #16
17 Temperature,19 Use of energy by moving object,IP #19 and IP #15 and IP #3 and IP #17
17 Temperature,20 Use of energy by stationary object,no preferred inventive principles
17 Temperature,21 Power,IP #2 and IP #14 and IP #17 and IP #25
17 Temperature,22 Loss of energy,IP #21 and IP #17 and IP #35 and IP #38
17 Temperature,23 Loss of substance,IP #21 and IP #36 and IP #29 and IP #31
17 Temperature,24 Loss of information,no preferred inventive principles
17 Temperature,25 Loss of time,IP #35 and IP #28 and IP #21 and IP #18
17 Temperature,26 Quantity of substance,IP #3 and IP #17 and IP #30 and IP #39
17 Temperature,27 Reliability,IP #19 and IP #35 and IP #3 and IP #10
17 Temperature,28 Measurement accuracy,IP #32 and IP #19 and IP #24
17 Temperature,29 Manufacturing precision,IP #24
17 Temperature,30 Object-affected harmful factor,IP #22 and IP #33 and IP #35 and IP #2
17 Temperature,31 Object-generated harmful factor,IP #22 and IP #35 and IP #2 and IP #24
17 Temperature,32 Ease of manufacture,IP #26 and IP #27
17 Temperature,33 Ease of operation,IP #26 and IP #27
17 Temperature,34 Ease of repair,IP #4 and IP #10 and IP #16
17 Temperature,35 Adaptability or Versatility,IP #2 and IP #18 and IP #27
17 Temperature,36 Device complexity,IP #2 and IP #17 and IP #16
17 Temperature,37 Difficulty of detection,IP #3 and IP #27 and IP #35 and IP #31
17 Temperature,38 Extent of automation,IP #26 and IP #2 and IP #19 and IP #16
17 Temperature,39 Productivity,IP #15 and IP #28 and IP #35
18 Illumination intensity,01 Weight of moving object,IP #19 and IP #1 and IP #32
18 Illumination intensity,02 Weight of stationary object,IP #2 and IP #35 and IP #32
18 Illumination intensity,03 Length of moving object,IP #19 and IP #32 and IP #16
18 Illumination intensity,04 Length of stationary object,no preferred inventive principles
18 Illumination intensity,05 Area of moving object,IP #19 and IP #32 and IP #26
18 Illumination intensity,06 Area of stationary object,no preferred inventive principles
18 Illumination intensity,07 Volume of moving object,IP #2 and IP #13 and IP #10
18 Illumination intensity,08 Volume of stationary object,no preferred inventive principles
18 Illumination intensity,09 Speed,IP #10 and IP #13 and IP #19
18 Illumination intensity,10 Force (Intensity),IP #26 and IP #19 and IP #6
18 Illumination intensity,11 Stress or pressure,no preferred inventive principles
18 Illumination intensity,12 Shape,IP #32 and IP #30
18 Illumination intensity,13 Stability of the object composition,IP #32 and IP #3 and IP #27
18 Illumination intensity,14 Strength,IP #35 and IP #19
18 Illumination intensity,15 Duration of action of moving object,IP #2 and IP #19 and IP #6
18 Illumination intensity,16 Duration of action of stationary object,no preferred inventive principles
18 Illumination intensity,17 Temperature,IP #32 and IP #35 and IP #19
18 Illumination intensity,18 Illumination intensity,see physical contradiction
18 Illumination intensity,19 Use of energy by moving object,IP #32 and IP #1 and IP #19
18 Illumination intensity,20 Use of energy by stationary object,IP #32 and IP #35 and IP #1 and IP #15
18 Illumination intensity,21 Power,IP #32
18 Illumination intensity,22 Loss of energy,IP #13 and IP #16 and IP #1 and IP #6
18 Illumination intensity,23 Loss of substance,IP #13 and IP #1
18 Illumination intensity,24 Loss of information,IP #1 and IP #6
18 Illumination intensity,25 Loss of time,IP #19 and IP #1 and IP #26 and IP #17
18 Illumination intensity,26 Quantity of substance,IP #1 and IP #19
18 Illumination intensity,27 Reliability,no preferred inventive principles
18 Illumination intensity,28 Measurement accuracy,IP #11 and IP #15 and IP #32
18 Illumination intensity,29 Manufacturing precision,IP #3 and IP #32
18 Illumination intensity,30 Object-affected harmful factor,IP #15 and IP #19
18 Illumination intensity,31 Object-generated harmful factor,IP #35 and IP #19 and IP #32 and IP #39
18 Illumination intensity,32 Ease of manufacture,IP #19 and IP #35 and IP #28 and IP #26
18 Illumination intensity,33 Ease of operation,IP #28 and IP #26 and IP #19
18 Illumination intensity,34 Ease of repair,IP #15 and IP #17 and IP #13 and IP #16
18 Illumination intensity,35 Adaptability or Versatility,IP #15 and IP #1 and IP #1 and IP #19
18 Illumination intensity,36 Device complexity,IP #6 and IP #32 and IP #13
18 Illumination intensity,37 Difficulty of detection,IP #32 and IP #15
18 Illumination intensity,38 Extent of automation,IP #2 and IP #26 and IP #10
18 Illumination intensity,39 Productivity,IP #2 and IP #25 and IP #16
19 Use of energy by moving object,01 Weight of moving object,IP #2 and IP #18 and IP #28 and IP #31
19 Use of energy by moving object,02 Weight of stationary object,no preferred inventive principles
19 Use of energy by moving object,03 Length of moving object,IP #12 and IP #28
19 Use of energy by moving object,04 Length of stationary object,no preferred inventive principles
19 Use of energy by moving object,05 Area of moving object,IP #15 and IP #19 and IP #25
19 Use of energy by moving object,06 Area of stationary object,no preferred inventive principles
19 Use of energy by moving object,07 Volume of moving object,IP #35 and IP #13 and IP #18
19 Use of energy by moving object,08 Volume of stationary object,no preferred inventive principles
19 Use of energy by moving object,09 Speed,IP #8 and IP #35
19 Use of energy by moving object,10 Force (Intensity),IP #16 and IP #26 and IP #21 and IP #2
19 Use of energy by moving object,11 Stress or pressure,IP #23 and IP #14 and IP #25
19 Use of energy by moving object,12 Shape,IP #12 and IP #2 and IP #29
19 Use of energy by moving object,13 Stability of the object composition,IP #19 and IP #13 and IP #17 and IP #24
19 Use of energy by moving object,14 Strength,IP #5 and IP #19 and IP #9 and IP #35
19 Use of energy by moving object,15 Duration of action of moving object,IP #28 and IP #35 and IP #6 and IP #18
19 Use of energy by moving object,16 Duration of action of stationary object,no preferred inventive principles
19 Use of energy by moving object,17 Temperature,IP #19 and IP #24 and IP #3 and IP #14
19 Use of energy by moving object,18 Illumination intensity,IP #2 and IP #15 and IP #19
19 Use of energy by moving object,19 Use of energy by moving object,see physical contradiction
19 Use of energy by moving object,20 Use of energy by stationary object,no preferred inventive principles
19 Use of energy by moving object,21 Power,IP #6 and IP #19 and IP #37 and IP #18
19 Use of energy by moving object,22 Loss of energy,IP #12 and IP #22 and IP #15 and IP #24
19 Use of energy by moving object,23 Loss of substance,IP #35 and IP #24 and IP #18 and IP #5
19 Use of energy by moving object,24 Loss of information,no preferred inventive principles
19 Use of energy by moving object,25 Loss of time,IP #35 and IP #38 and IP #19 and IP #18
19 Use of energy by moving object,26 Quantity of substance,IP #34 and IP #23 and IP #16 and IP #18
19 Use of energy by moving object,27 Reliability,IP #19 and IP #21 and IP #11 and IP #27
19 Use of energy by moving object,28 Measurement accuracy,IP #3 and IP #1 and IP #32
19 Use of energy by moving object,29 Manufacturing precision,no preferred inventive principles
19 Use of energy by moving object,30 Object-affected harmful factor,IP #1 and IP #35 and IP #6 and IP #27
19 Use of energy by moving object,31 Object-generated harmful factor,IP #2 and IP #35 and IP #6
19 Use of energy by moving object,32 Ease of manufacture,IP #28 and IP #26 and IP #30
19 Use of energy by moving object,33 Ease of operation,IP #19 and IP #35
19 Use of energy by moving object,34 Ease of repair,IP #1 and IP #15 and IP #17 and IP #28
19 Use of energy by moving object,35 Adaptability or Versatility,IP #15 and IP #17 and IP #13 and IP #16
19 Use of energy by moving object,36 Device complexity,IP #2 and IP #29 and IP #27 and IP #28
19 Use of energy by moving object,37 Difficulty of detection,IP #35 and IP #38
19 Use of energy by moving object,38 Extent of automation,IP #32 and IP #2
19 Use of energy by moving object,39 Productivity,IP #12 and IP #28 and IP #35
20 Use of energy by stationary object,01 Weight of moving object,no preferred inventive principles
20 Use of energy by stationary object,02 Weight of stationary object,IP #19 and IP #9 and IP #6 and IP #27
20 Use of energy by stationary object,03 Length of moving object,no preferred inventive principles
20 Use of energy by stationary object,04 Length of stationary object,no preferred inventive principles
20 Use of energy by stationary object,05 Area of moving object,no preferred inventive principles
20 Use of energy by stationary object,06 Area of stationary object,no preferred inventive principles
20 Use of energy by stationary object,07 Volume of moving object,no preferred inventive principles
20 Use of energy by stationary object,08 Volume of stationary object,no preferred inventive principles
20 Use of energy by stationary object,09 Speed,no preferred inventive principles
20 Use of energy by stationary object,10 Force (Intensity),IP #36 and IP #37
20 Use of energy by stationary object,11 Stress or pressure,no preferred inventive principles
20 Use of energy by stationary object,12 Shape,no preferred inventive principles
20 Use of energy by stationary object,13 Stability of the object composition,IP #27 and IP #4 and IP #29 and IP #18
20 Use of energy by stationary object,14 Strength,IP #35
20 Use of energy by stationary object,15 Duration of action of moving object,no preferred inventive principles
20 Use of energy by stationary object,16 Duration of action of stationary object,no preferred inventive principles
20 Use of energy by stationary object,17 Temperature,no preferred inventive principles
20 Use of energy by stationary object,18 Illumination intensity,IP #19 and IP #2 and IP #35 and IP #32
20 Use of energy by stationary object,19 Use of energy by moving object,no preferred inventive principles
20 Use of energy by stationary object,20 Use of energy by stationary object,see physical contradiction
20 Use of energy by stationary object,21 Power,no preferred inventive principles
20 Use of energy by stationary object,22 Loss of energy,no preferred inventive principles
20 Use of energy by stationary object,23 Loss of substance,IP #28 and IP #27 and IP #18 and IP #31
20 Use of energy by stationary object,24 Loss of information,no preferred inventive principles
20 Use of energy by stationary object,25 Loss of time,no preferred inventive principles
